Ordinal #	Car_Initial	Car_Number	Axle_Timestamps
1	TTWX	922279	0
1	TTWX	922279	0.2904
1	TTWX	922279	3.1694
1	TTWX	922279	3.4577
2	TTWX	922280	4.5665
2	TTWX	922280	4.8548
2	TTWX	922280	7.7338
2	TTWX	922280	8.0221
3	TTWX	922281	9.1308
3	TTWX	922281	9.4192
3	TTWX	922281	12.2981
3	TTWX	922281	12.5886
4	TTWX	922282	13.6973
4	TTWX	922282	13.9856
4	TTWX	922282	16.8646
4	TTWX	922282	17.1529
5	TTWX	922283	18.2617
5	TTWX	922283	18.55
5	TTWX	922283	21.429
5	TTWX	922283	21.7194
6	TTWX	922284	22.826
6	TTWX	922284	23.1165
6	TTWX	922284	25.9954
6	TTWX	922284	26.2838
7	TTWX	922285	27.3925
7	TTWX	922285	27.6808
7	TTWX	922285	30.5598
7	TTWX	922285	30.8481
